,b_Fbat107PT24.CEL,b_Fbat107PT30.CEL,b_Fbat107PT48.CEL,b_Fbat107PT52.CEL,knh_102_Fbat289PT24.CEL,knh_103_Fbat289PT48.CEL,knh_490_BS0001_Fbat1070_PT24_1.Rep.CEL,knh_491_BS0001_Fbat1070_PT30_1.Rep.CEL,knh_492_BS0001_Fbat1070_PT48_1.Rep.CEL,knh_494_BS0001_Fbat1077_PT24_2.Rep.CEL,knh_495_BS0001_Fbat1077_PT30_2.Rep.CEL,knh_496_BS0001_Fbat1077_PT48_2.Rep.CEL,knh_498_BS0001_Fbat1091_PT24_3.Rep.CEL,knh_499_BS0001_Fbat1091_PT30_3.Rep.CEL,knh_500_BS0001_Fbat1091_PT48_3.Rep.CEL,knh_502_BS3416_E_Fbat1071_PT24_1.Rep.CEL,knh_503_BS3416_E_Fbat1071_PT30_1.Rep.CEL,knh_504_BS3416_E_Fbat1071_PT48_1.Rep.CEL,knh_506_BS3416_E_Fbat1078_PT24_2.Rep.CEL,knh_507_BS3416_E_Fbat1078_PT30_2.Rep.CEL,knh_508_BS3416_E_Fbat1078_PT48_2.Rep.CEL,knh_510_BS3416_E_Fbat1092_PT24_3.Rep.CEL,knh_512_BS3416_E_Fbat1092_PT48_3.Rep.CEL,knh_532_BS3416_E_Fbat1092_PT30_3.Rep_wh.CEL,knh_655_BS5009_Fbat1374_PT24_1.Repl._No.2_repeated RNA.CEL,knh_657_BS5009_Fbat1379_PT24_2.Repl._No.6_repeated RNA.CEL,knh_659_BS5009_Fbat1383_PT24_3.Repl._No.10_repeated RNA.CEL,knh_660_BS5009_Fbat1374_PT30_1.Repl._No.3_rep_cDNA_new Yeast.CEL,knh_661_BS5009_Fbat1374_PT48_1.Repl._No.4_rep_cDNA_new Yeast.CEL,knh_662_BS5009_Fbat1379_PT30_2.Repl._No.7_rep_cDNA_new Yeast.CEL,knh_663_BS5009_Fbat1379_PT48_2.Repl._No.8_rep_cDNA_new Yeast.CEL,knh_664_BS5009_Fbat1383_PT30_3.Repl._No.11_rep_cDNA_new Yeas.CEL,knh_665_BS5009_Fbat1383_PT48_3.Repl._No.12_rep_cDNA_new Yeas.CEL,knh_679_BS5254_Fbat1442_PT24_1.Repl._No.38.CEL,knh_680_BS5254_Fbat1442_PT30_1.Repl._No.39.CEL,knh_681_BS5254_Fbat1442_PT48_1.Repl._No.40.CEL,knh_683_BS5254_Fbat1443_PT24_2.Repl._No.42.CEL,knh_684_BS5254_Fbat1443_PT30_2.Repl._No.43.CEL,knh_685_BS5254_Fbat1443_PT48_2.Repl._No.44.CEL,knh_687_BS5254_Fbat1444_PT24_3.Repl._No.46.CEL,knh_688_BS5254_Fbat1444_PT30_3.Repl._No.47.CEL,knh_689_BS5254_Fbat1444_PT48_3.Repl._No.48.CEL,knhb_039_Fbat152PT24.CEL,knhb_040_Fbat152PT48.CEL,knhb_041_Fbat152PT52.CEL,knhb_046_Fbat202PT24.CEL,knhb_047_Fbat202PT48.CEL,knhb_049_Fbat203PT24.CEL,knhb_050_Fbat203PT48.CEL,knhb_090_Fbat284PT24.CEL,knhb_091_Fbat284PT48.CEL,knhb_098_Fbat287PT24.CEL,knhb_099_Fbat287PT48.CEL,knhb_169_Fbat395PT24.CEL,knhb_170_Fbat395PT48.CEL,knhb_174_Fbat396PT24.CEL,knhb_175_Fbat396PT48.CEL,knhb_180_Fbat397PT24.CEL,knhb_181_Fbat397PT48.CEL,knhb_186_Fbat398PT24.CEL,knhb_187_Fbat398PT48.CEL,knhb_237_Fbat394PT24.CEL,knhb_238_Fbat394PT48.CEL,knhb_247_Fbat525PT24.CEL,knhb_248_Fbat525PT48.CEL,knhb_251_Fbat526PT24.CEL,knhb_252_Fbat526PT48.CEL,knhb_255_Fbat527PT24.CEL,knhb_256_Fbat527PT48.CEL,knhb_259_Fbat528PT24.CEL,knhb_260_Fbat528PT48.CEL
q_RIBFLV,-6.64385619,-6.947862377,-7.930160375,-8.28771238,-7.310432456,-7.64385619,-6.13796526,-6.559791925,-8.333516069,-6.310432456,-6.615287038,-7.117787378,-6.333516069,-6.702749879,-7.310432456,-5.930160375,-6.28771238,-8.158429363,-5.673002535,-6.13796526,-7.333516069,-6.011587974,-7.265344567,-6.299027693,-6.429731384,-6.702749879,-6.454822365,-6.811978949,-9.587272661,-6.844768884,-9.965784285,-6.748553568,-8.380821784,-5.886832943,-6.265344567,-7.702749879,-5.947862377,-6.254289378,-7.895394957,-5.878321443,-6.232429944,-7.673002535,-6.532824877,-7.828280761,-8.24331826,-6.265344567,-8.587272661,-6.480357457,-6.930160375,-8.158429363,-9.587272661,-6.442222329,-8.117787378,-6.912672948,-7.265344567,-7.117787378,-7.506352666,-7.039784866,-8.078259014,-6.687799537,-7.559791925,-6.878321443,-7.64385619,-6.878321443,-7.673002535,-7.28771238,-8.333516069,-6.947862377,-8.039784866,-6.764150423,-7.587272661
YCIC_at,12.20847734,12.05408223,12.26518769,12.13605822,7.930761357,11.31755821,8.145806072,11.33136689,11.04418542,7.838184657,10.24182791,10.26827153,7.962529858,11.02945932,10.90000546,6.879748966,6.987279599,7.271899559,7.362209214,7.184598592,7.491111791,7.509980505,8.127879067,7.512429919,7.579574497,7.792692999,7.393360892,7.733608734,11.68125495,7.277678808,10.9847596,7.351882762,11.75625803,7.225171849,7.389827259,11.3300711,7.462995977,7.191448159,11.75646666,7.541265977,7.291323739,12.21804626,11.45792563,11.02216528,11.88981772,10.74775475,11.14972884,11.06674791,10.77057944,7.678629524,9.353148153,11.04757193,10.89866275,8.098996021,8.777518732,7.544044929,7.892632597,7.276847711,7.312147098,7.392178361,7.297771474,11.21574422,10.72070142,8.800911207,10.22198558,10.34523505,10.48368571,11.11711603,9.635491405,8.295773235,9.361276198
YHZA_at,11.56099513,11.84642619,11.87804424,11.08421942,8.792410126,10.93299343,8.843732578,11.777741,11.96994771,9.478869327,11.33778987,11.15753283,9.185696319,11.76258421,12.15641275,7.637787802,7.697576507,7.968126895,8.217374623,8.051365443,7.971920668,7.653310105,9.249568903,7.643454745,8.089322432,8.562979409,8.533182859,8.252526856,12.10250954,8.975086238,12.18435118,8.321307124,11.30956433,7.575942391,7.462688059,11.27874447,7.73995207,8.141965792,11.66285449,7.770606346,7.780067383,11.58980423,11.21963221,11.1373295,11.37426657,10.98721175,11.10455484,11.06264538,10.52198877,7.917207835,9.617171897,10.97328331,10.20493432,9.705300932,9.989808645,8.553872916,8.669099084,8.553337504,7.744691229,8.010371891,8.179915349,11.89852103,10.62958335,11.01709719,11.78271564,11.41884087,11.5341173,11.17251023,11.22223793,8.785852627,10.94070183
YTIA_at,11.94927789,12.10161644,11.88088079,12.25653614,8.866752558,11.10526854,9.425660937,11.25352275,12.08789622,8.590697973,10.10560106,11.34065519,9.154825083,11.14846877,11.57468708,7.215837735,7.29160752,8.066724231,7.866701643,7.635082272,7.980130464,8.090951787,8.844538427,8.458288621,8.548362956,8.810326685,7.958332371,8.442214199,11.81145387,8.819509399,11.73129146,8.536136059,11.70878823,8.058113895,8.62280664,11.42462798,7.980608679,8.296605678,11.86530716,8.141742995,8.048064218,11.84108979,10.77499038,10.44112971,11.66084037,10.67643331,11.90002116,10.69521854,11.19505749,7.924317659,10.14662623,10.92509522,11.34457848,9.224664638,9.923647409,7.422019231,8.960984721,7.558102836,7.994675938,7.234531344,7.682452891,10.9456879,11.2049597,9.196144209,10.12460858,10.12544518,10.79813535,10.81787809,10.48914362,9.755135623,10.43634398
YCDH_at,10.87844491,10.82992571,11.05042652,11.05635337,9.124364374,10.05570735,8.850631725,10.53759626,10.74874841,8.731564146,9.29520473,9.659739195,9.223163106,10.35032998,10.25857047,6.280235198,6.43868271,8.507450246,6.709719266,6.87810216,8.044767822,7.198732288,8.421419799,7.238244925,7.702190872,7.901239715,7.188118329,7.800538206,11.14139871,8.647864179,10.82113728,8.006218784,11.13510888,7.333780969,7.614061551,11.34280913,7.434857671,7.756918898,11.37568347,7.578932031,6.965989518,11.85122671,10.30240105,9.767890648,10.74705466,8.795676506,10.271994,9.909168588,9.401532031,7.224330081,8.802382719,9.840719541,9.922579118,9.72393172,8.952115664,6.945438715,8.0631958,6.952660783,7.018496266,6.835375185,6.621084631,10.06396513,9.61332399,8.112229675,9.162680622,9.740052857,9.279157601,10.89582289,8.709489663,10.44329646,9.001700846
YRBA_at,6.775804182,7.473423498,10.08397565,10.02904308,7.799226502,9.065237622,8.419113212,11.2572803,8.787584808,8.039710457,9.409056631,8.448703001,7.877184555,9.367362698,9.374554153,6.926292796,6.794174462,8.698752221,8.09192546,7.396140437,9.166172974,7.742190963,8.614135462,8.142354553,7.888126916,8.019070841,6.829731449,8.151218323,9.937960479,7.421840983,7.62893369,6.886760592,9.86962088,7.730545517,11.53910651,8.542371176,7.584566838,11.94826772,7.776577746,7.741287936,11.80474195,7.900402581,7.535052846,9.474245623,9.299950784,11.34471823,9.852920679,7.973789215,9.310033368,9.492064388,9.578130283,10.17908236,9.929463004,10.45255919,8.226794558,8.650535129,8.582576142,7.966798637,9.161991999,9.948393433,11.04997895,7.102366093,8.205274905,8.486613038,8.119618812,11.6862599,8.251244247,6.785723701,8.226491885,7.159482673,9.77499677
NADA_at,7.359904253,7.79175428,10.68066172,10.84547526,8.291827005,9.531592515,8.815971976,11.46494477,9.247999652,8.331585842,9.795758754,8.944302161,8.111693305,9.44363614,9.589823046,7.27704534,7.05075483,8.96229852,8.508960051,7.836519525,9.209112268,8.260212211,8.746178179,8.457569392,8.298059728,8.690500183,7.510349772,8.645547884,10.16583537,7.824294735,8.366340644,7.600300424,10.32259619,7.672049044,11.99914013,8.882848029,8.095827448,12.29658685,8.029347376,8.413407058,12.2587002,8.679131593,7.996168672,10.17961232,9.503605275,11.5676579,10.25215944,8.279114026,9.78250047,10.1376635,10.06464592,10.61323301,10.24437605,10.90917644,8.911302906,9.140009988,8.777877009,8.374642863,9.441798084,10.20841711,11.37751813,7.383771667,8.804093484,8.894748462,8.728529538,11.88351773,8.60210425,7.356807454,8.618890099,7.316121489,10.03263092
YRZI_r_at,9.640106742,10.07254074,9.842422059,9.736849654,7.388047891,8.50106053,9.6261839,10.51095779,10.08774905,8.3890696,8.97626297,8.645311743,9.221489906,10.21391074,9.575480701,10.98260075,11.16706293,9.626897607,9.276802922,10.22663528,8.92238041,9.913353058,8.303922936,8.743577678,9.344389872,9.017012473,9.514912298,7.991640447,9.349311886,9.281945857,9.193878502,8.915901857,9.108358955,10.02483936,8.015455848,8.44839318,9.12576339,9.134910857,9.281364831,8.914048602,8.935638109,8.631545614,8.92896515,8.065714219,8.799633062,9.081401467,8.336240752,7.932286005,7.802916544,4.736921681,5.501499286,8.241492578,8.635240011,7.259327311,8.99303002,8.045404237,6.566766906,9.644435079,8.240684965,7.529986449,9.987770137,9.711690884,8.98217446,6.350103843,7.326113022,7.045744034,8.328923167,7.801139849,6.25052628,8.602041233,6.397116914
YHFH_r_at,8.239347072,9.493301765,6.835977292,6.810026637,10.17154635,9.353401582,8.403869552,9.862275526,7.855475694,9.659533051,9.522636632,8.741736722,8.795372173,9.046321413,8.410744075,10.34270819,10.01335283,8.19146044,9.45926444,10.25589885,8.192516786,9.375712718,8.38332189,9.192200855,9.144025419,8.697092092,9.630649754,9.148486374,8.083221078,9.429174335,8.043597558,9.113631581,8.202983057,7.496835268,8.277119401,8.012300719,7.856282246,8.572280496,8.035075932,7.837122217,8.240401309,8.014178923,10.75696457,7.343525986,7.613996731,10.8371277,7.921303637,10.37995419,8.007102695,7.541584891,7.07202849,10.35393742,7.553045941,11.28901995,9.102618812,11.27688563,8.080646006,10.91613195,11.00591229,12.04596249,8.078718992,10.93687154,7.570849626,9.923638108,8.578277926,10.50140083,8.902411551,9.296996108,7.870364985,8.747027045,7.102440605
NADC_at,7.611222933,8.156743528,10.71196094,10.71087654,8.375561624,9.456883267,8.570262328,11.25247223,9.029359449,8.322260546,9.696652764,8.980021856,8.415474796,9.438296151,9.441164697,7.537725486,7.419214911,8.761552837,8.745479581,8.047155063,8.884981468,8.403277867,8.43511495,8.208956244,8.351769785,7.972230715,7.929525165,8.701204178,10.14208647,8.060331362,8.284816346,7.788829101,10.35949004,8.061328821,12.03861832,8.396590284,8.262459671,12.18101216,8.016803853,8.686616714,12.14716562,8.645881747,7.905070642,10.11583796,9.478325229,11.39014742,10.16898476,8.566457845,9.568849789,9.907173849,9.976475371,10.58629943,10.04378822,10.63967802,8.950892751,8.982298505,8.954694312,8.203325778,9.400999061,9.930347584,11.22599737,7.805647277,8.878953803,8.647768467,8.658961151,11.63121862,8.560701519,7.765074428,8.675877088,7.578023562,9.752167743
