,AMM_1,AMM_2,AMM_3,AMM_4,AMM_5,AMM_6,AMO_1,AMO_2,AMO_3,AMO_4,AMO_5,AMO_6,AO_1,AO_2,AO_3,AO_4,AO_5,AO_6,AtlanticTripoleSST_1,AtlanticTripoleSST_2,AtlanticTripoleSST_3,AtlanticTripoleSST_4,AtlanticTripoleSST_5,AtlanticTripoleSST_6,BEST_1,BEST_2,BEST_3,BEST_4,BEST_5,BEST_6,CAR_1,CAR_2,CAR_3,CAR_4,CAR_5,CAR_6,EAWR_1,EAWR_2,EAWR_3,EAWR_4,EAWR_5,EAWR_6,EOFPAC_1,EOFPAC_2,EOFPAC_3,EOFPAC_4,EOFPAC_5,EOFPAC_6,EPNP_1,EPNP_2,EPNP_3,EPNP_4,EPNP_5,EPNP_6,GHT1_1,GHT1_2,GHT1_3,GHT1_4,GHT1_5,GHT1_6,IOD_1,IOD_2,IOD_3,IOD_4,IOD_5,IOD_6,LLW1_1,LLW1_2,LLW1_3,LLW1_4,LLW1_5,LLW1_6,LLW2_1,LLW2_2,LLW2_3,LLW2_4,LLW2_5,LLW2_6,MEI_1,MEI_2,MEI_3,MEI_4,MEI_5,MEI_6,MseaSSTindex_1,MseaSSTindex_2,MseaSSTindex_3,MseaSSTindex_4,MseaSSTindex_5,MseaSSTindex_6,NAO_1,NAO_2,NAO_3,NAO_4,NAO_5,NAO_6,Nina12_1,Nina12_2,Nina12_3,Nina12_4,Nina12_5,Nina12_6,Nina4_1,Nina4_2,Nina4_3,Nina4_4,Nina4_5,Nina4_6,Nino3_1,Nino3_2,Nino3_3,Nino3_4,Nino3_5,Nino3_6,Nino34_1,Nino34_2,Nino34_3,Nino34_4,Nino34_5,Nino34_6,NOI_1,NOI_2,NOI_3,NOI_4,NOI_5,NOI_6,NP_1,NP_2,NP_3,NP_4,NP_5,NP_6,NTA_1,NTA_2,NTA_3,NTA_4,NTA_5,NTA_6,ONI_1,ONI_2,ONI_3,ONI_4,ONI_5,ONI_6,PACWARM_1,PACWARM_2,PACWARM_3,PACWARM_4,PACWARM_5,PACWARM_6,PDO_1,PDO_2,PDO_3,PDO_4,PDO_5,PDO_6,PNA_1,PNA_2,PNA_3,PNA_4,PNA_5,PNA_6,QBO_1,QBO_2,QBO_3,QBO_4,QBO_5,QBO_6,SOI_1,SOI_2,SOI_3,SOI_4,SOI_5,SOI_6,Solarflux_1,Solarflux_2,Solarflux_3,Solarflux_4,Solarflux_5,Solarflux_6,TNA_1,TNA_2,TNA_3,TNA_4,TNA_5,TNA_6,TNI_1,TNI_2,TNI_3,TNI_4,TNI_5,TNI_6,TSA_1,TSA_2,TSA_3,TSA_4,TSA_5,TSA_6,WHWP_1,WHWP_2,WHWP_3,WHWP_4,WHWP_5,WHWP_6,WP_1,WP_2,WP_3,WP_4,WP_5,WP_6,Rainfall_7,Rainfall_8,Rainfall_9
1951,2.14,0.94,2.29,3.63,3.7,3.85,0.113,0.009,0.023,0.179,0.183,0.3,-0.085,-0.4,-1.934,-0.776,-0.863,-0.918,0.306,-0.438,0.298,1.184,0.775,1.146,-1.13,-0.69,-0.23,0.33,0.7,0.18,-99.9,-0.472,-0.582,-0.498,-0.334,-0.052,-0.74,-1.66,0.11,-2.31,0.93,1.91,-0.673,-0.534,-0.891,-0.108,0.183,0.589,-0.81,-1.32,0.2,0.02,-0.04,-0.62,-0.06,-0.012,-0.14,-0.024,-0.028,0.067,0.014,0.452,0.425,-0.29,0.119,0.032,-0.06,-0.089,0.002,-0.129,0.035,-0.131,0.055,-0.057,-0.039,-0.088,-0.119,-0.22,-1.069,-1.193,-1.208,-0.439,-0.305,0.438,0.531,0.59,0.802,0.579,0.586,0.438,-0.42,0.35,-1.47,-0.38,-0.5,-1.35,24.19,25.28,25.6,25.37,24.79,24.69,27.36,27.27,27.96,28.49,29.04,28.74,25,25.8,26.91,27.31,27.08,26.57,25.46,25.78,26.72,27.24,27.68,27.46,2.702,1.878,3.103,-3.88,-2.213,-0.903,1008.32,1011.16,1015.69,1011.91,1012.74,1014.2,-99.9,-0.176,-0.098,0.105,0.275,0.319,-0.79,-0.73,-0.34,-0.24,0.11,0.15,-0.331,-0.291,-0.358,-0.406,-0.439,-0.296,-1.54,-1.06,-1.9,-0.36,-0.25,-1.09,-1.18,-2.11,-1.09,0.47,1.19,-0.54,-6.01,-5.32,-1.93,0.91,2.26,-0.3,2.5,1.5,-0.2,-0.5,-1.1,0.3,1079,1019,1025,1271,1686,1617,0.06,-0.17,-0.07,0.17,0.14,0.17,1.315,1.461,1.59,1.457,1.615,1.627,-0.98,-0.7,-0.87,-0.51,-0.37,-0.26,-0.17,-0.3,-0.93,-0.7,-0.93,-0.56,-0.07,-0.58,-0.29,-0.19,0.7,0.1,91.42341559,136.0845138,105.9977843
1952,-2.89,-1.44,0.92,1.13,2.09,3.27,0.182,0.193,0.241,0.201,0.191,0.393,0.368,-1.747,-1.859,0.539,-0.774,-0.441,-0.373,0.258,0.778,0.3,0.784,1.679,0.64,0.56,0.07,0.72,-0.52,-0.75,0.311,0.252,0.154,0.272,0.226,0.258,-1.07,-1.46,0.16,0.12,0.24,-0.4,0.357,0.562,0.113,0.394,-0.125,-0.507,1.59,-1.09,-2.13,-2.44,0.06,-0.25,-0.006,-0.101,-0.093,-0.116,-0.07,0.138,0.313,0.471,0.383,0.369,0.195,0.191,-0.14,-0.036,0.049,0.078,0.173,-0.127,0.096,0.015,-0.049,-0.022,-0.011,-0.318,0.408,0.135,0.086,0.257,-0.289,-0.657,-0.144,0.175,0.008,0.347,0.414,-0.157,0.57,-1.38,-1.97,0.95,-0.99,-0.1,24.52,26.21,26.37,24.73,23.71,22.34,28.35,28.08,28.1,28.52,28.69,28.47,25.85,26.46,27.18,27.41,26.92,25.84,26.85,26.79,27.32,27.88,27.99,27.33,-1.444,2.156,1.74,-1.652,0.535,0.015,1010.38,1007.72,1014.06,1013.69,1015.81,1014.48,-0.516,-0.434,-0.274,-0.027,0.012,-0.015,0.59,0.27,0.24,0.38,0.39,0.01,-0.018,-0.059,-0.051,-0.104,-0.16,-0.107,-2.01,-0.46,-0.63,-1.05,-1,-1.43,-3.19,0.08,-0.69,0.89,-0.79,0.53,-6.8,-7.71,-6.99,-5.68,-4.76,-6,-1.5,-1,0.9,-0.4,1.2,1.2,954,862,785,840,809,848,-0.41,-0.15,-0.02,0.04,0.13,0.28,0.168,-0.293,-0.368,-0.374,-0.567,-0.718,0.06,-0.01,-0.08,-0.08,-0.19,0.07,-0.07,-0.26,-0.31,0.35,0.24,0.85,1.43,0.88,0.06,0.28,0.93,1.08,104.6876874,171.7378372,130.4448041
1953,3.16,2.8,1.32,2.12,2.34,1.45,0.276,0.196,0.152,0.324,0.353,0.286,-1.036,-0.249,1.068,-1.256,-0.562,0.023,1.747,1.423,0.701,1.294,1.105,0.99,0.18,0.5,0.5,0.81,1.78,0.6,-0.027,0,0.055,0.052,0.024,0.017,0.84,-0.25,1.73,-1.66,0.09,-0.71,0.274,0.476,0.539,1.331,0.621,0.655,0.24,-1.51,-2.29,-0.07,-0.63,3.88,0.074,-0.043,-0.024,0.114,0.007,0.172,0.305,0.283,0.468,-0.004,0.604,0.36,-0.237,-0.136,0.128,-0.316,-0.07,-0.006,0.232,0.153,0.114,-0.095,0.105,-0.047,0.022,0.382,0.263,0.711,0.83,0.227,0.208,0.18,-0.362,0.006,0.059,0.002,-0.12,-1,-0.45,-1.96,-0.56,1.41,24.15,26.34,27.36,27.03,25.47,23.49,28.31,28.26,28.1,28.53,28.92,29.18,25.77,26.74,27.57,27.91,27.39,26.77,26.85,27.19,27.68,28.19,28.29,28.02,1.742,7.614,2.595,-0.952,-0.631,1.682,1002.53,1008.16,1014.61,1010.4,1013.4,1017.13,0.307,0.075,-0.021,-0.026,0.128,0.098,0.59,0.66,0.59,0.68,0.7,0.71,-0.257,-0.168,-0.055,-0.275,-0.317,-0.285,-0.57,-0.07,-1.12,0.05,0.43,0.29,0.18,1.04,-0.44,0.78,1.14,-1.6,-2.94,-2.68,-1.22,1.3,2.69,1.86,0.5,-0.8,-0.3,0.3,-2.8,0.2,832,728,704,810,725,730,0.46,0.41,-0.04,0.18,0.11,0.13,-0.027,0.15,0.325,0.55,0.428,0.532,-0.15,-0.25,0.01,-0.29,-0.14,-0.1,-0.17,-0.12,0.57,1.58,0.09,0.48,-1.24,1.38,0.58,-1.86,-0.51,-0.57,134.3872134,156.4131785,82.7547896
1954,0.97,0.82,-0.17,-0.44,1.68,1.2,0.238,0.106,0.111,-0.003,0.08,0.11,-0.148,-0.181,0.476,0.512,-1.656,-0.268,0.685,0.293,0.351,-0.628,0.163,0.166,0,0.4,0.17,-0.31,-0.36,-0.45,0.069,0.021,0.017,0.031,-0.1,-0.08,0.52,0.03,0.48,-0.29,-2.13,0.58,0.092,-0.173,-0.226,-1.296,-1.033,-1.251,0.6,-1.75,1.51,0.08,0.2,-1.64,0.033,-0.057,-0.108,-0.053,-0.059,0.148,-0.29,0,-0.052,0.329,0.221,-0.009,-0.264,0.006,0.016,-0.028,0.038,0.059,0.145,0.206,0.132,0.096,-0.04,-0.096,-0.049,-0.017,0.178,-0.51,-1.433,-1.585,-0.601,-0.322,-0.148,-0.389,-0.516,0.388,-0.08,0.4,-1.27,1.31,-0.03,0.06,23.02,25,25.33,22.97,21.73,20.77,28.3,28.16,27.89,28.2,28.4,28.32,25.73,26.43,26.85,25.86,25.67,25.2,27.03,27.22,27.21,26.87,27.07,26.93,0.5,1.101,-1.303,0.761,-1.173,0.498,1010.84,1007.36,1016.82,1017.54,1013.66,1013.36,-0.001,-0.223,-0.3,-0.317,-0.377,-0.171,0.77,0.69,0.12,-0.64,-0.53,-0.39,-0.09,0.049,-0.102,-0.114,-0.176,-0.231,-1.32,-1.61,-0.52,-1.33,0.01,0.97,-2.11,-0.48,-1.44,-2.86,0.65,0.09,-5.05,-6.88,-7.98,-9.01,-11.38,-12.72,1.1,-0.5,0.4,1.1,0.8,0.2,687,692,719,687,680,673,0.1,-0.12,-0.26,-0.46,0.05,0.04,-0.655,-1.25,-1.788,-1.702,-1.839,-1.8,-0.43,-0.5,-0.52,-0.4,-0.61,-0.57,-0.13,-0.29,-0.77,-1.49,-1.29,-1.71,-0.26,-0.67,0.66,-0.53,1.39,-1.63,145.8537782,190.4393032,72.15775525
1955,0.63,1.62,1.03,1.95,1.61,2.14,0.087,0.051,0.052,0.106,0.187,0.204,-1.163,-1.542,-1.568,0.194,0.242,-0.266,0.785,0.893,0.603,0.735,1.035,0.875,-0.01,-1.14,-0.58,-0.41,-1.32,-1.51,-0.318,-0.23,-0.249,-0.234,-0.122,-0.068,-0.79,-1.69,0.25,-0.01,0.92,1.43,-1.006,-0.92,-1.429,-1.407,-1.966,-1.707,-1.32,-1.71,-0.13,-1.35,-1.61,-2.84,0.129,0.051,-0.142,-0.094,0.094,0.095,-0.18,-0.066,0.042,0.007,-0.5,-0.355,-0.313,-0.278,0.092,-0.054,-0.102,-0.086,0.129,0.041,0.125,0.071,-0.033,-0.043,-0.771,-0.695,-1.134,-1.56,-1.631,-2.291,0.344,0.777,0.708,0.316,0.604,0.836,-2.65,-1.71,-0.96,-0.6,-0.26,-0.8,23.75,24.82,25.14,24.22,22.16,21.2,27.6,27.3,27.37,27.82,28.03,28.08,24.79,25.76,26.35,26.32,25.52,25.08,25.54,25.9,26.37,26.66,26.66,26.56,2.308,7.473,4.596,1.63,3.862,1.871,1007.1,1015.4,1016.18,1016.59,1014.88,1015.61,-0.152,-0.123,-0.188,-0.3,-0.152,-0.045,-0.71,-0.62,-0.7,-0.84,-0.92,-0.76,-0.127,-0.229,-0.186,-0.29,-0.406,-0.434,0.2,-1.52,-1.26,-1.97,-1.21,-2.44,-0.14,-2.62,-2.47,-0.24,-0.42,0.11,-5.82,-1.71,1.37,4.4,6.58,6.73,-0.9,3.1,1.1,-0.2,1.7,2.2,843,820,748,773,828,888,0.09,0.07,-0.04,-0.01,-0.12,-0.01,0.316,0.489,0.619,0.358,0.399,0.319,-0.42,-0.6,-0.45,-0.52,-0.34,-0.44,-0.17,-0.3,-0.87,-2.21,-1.76,-1.89,0.4,-0.66,0.51,1.18,-0.26,0.7,120.1858781,133.0031931,103.1263231
1956,4.38,3.56,2.5,2.02,0.16,-1.4,0.197,0.105,0.025,0.074,-0.047,-0.253,-1.204,-2.029,0.47,-0.868,1.391,0.28,1.438,1.206,0.505,0.605,0.007,-0.621,-1.1,-1.15,-0.97,-0.96,-1.05,-1.07,-0.263,-0.264,-0.242,-0.12,-0.087,-0.226,-0.74,-0.89,0.33,-0.08,0.61,-1.47,-1.321,-0.967,-1.299,-1.279,-1.016,-1.151,-0.39,-1.99,-1.13,0.29,-0.05,-1.95,-0.035,-0.217,-0.117,-0.114,0.026,0.084,0.143,0.196,-0.116,-0.275,-0.508,-0.329,-0.304,0.045,-0.012,-0.054,-0.139,-0.043,0.05,0.186,0.111,-0.009,-0.267,-0.246,-1.434,-1.297,-1.396,-1.158,-1.309,-1.513,0.885,0.461,0.161,-0.123,-0.22,-0.281,-0.76,-1.71,-0.46,-1.3,2.1,0.41,23.24,24.71,25.9,24.66,23.14,22.04,27.18,27.27,27.49,27.72,28.11,28.22,24.47,25.8,26.84,27.12,26.63,25.87,25.28,26,26.62,26.96,27.23,26.99,-2.126,5.06,5.191,0.577,1.273,2.335,1010.2,1012.86,1013.95,1014.2,1013.64,1015.27,0.185,0.017,-0.071,-0.192,-0.308,-0.367,-1.11,-0.62,-0.51,-0.59,-0.38,-0.39,-0.328,-0.39,-0.203,-0.244,-0.313,-0.265,-2.48,-2.74,-2.56,-2.17,-1.41,-1.7,-2.34,-1.69,-0.97,-0.17,-0.17,-0.08,-1.01,-3.23,-2.01,-2.01,-6.16,-11.02,2.2,2.7,2.2,1.5,2.3,1.8,1412,1672,1606,1659,1634,1540,0.37,0.24,-0.04,0,-0.29,-0.45,1.092,1.119,0.977,0.993,0.983,0.723,-0.5,-0.69,-0.57,-0.73,-0.45,-0.43,-0.17,-0.3,-0.61,-1.43,-1.53,-2.49,-2.87,-1.65,0.11,0.73,2,-0.81,115.373551,168.2743542,97.53961282
1957,-1.03,-2.24,-1.54,-2.32,-1.4,-0.44,-0.07,-0.095,-0.008,-0.063,-0.11,-0.001,2.062,-1.513,-2.013,0.238,-0.966,-0.76,-0.689,-0.943,-0.38,-0.613,-0.778,-0.263,-0.44,0.04,0.24,0.44,1.1,0.67,0.222,0.191,0.125,0.084,0.044,0.015,0.69,-1.73,0.45,-0.48,-1.42,2.45,-0.61,0.315,0.589,0.996,1.122,1.332,1.42,-0.98,-0.56,0.26,0.85,1.71,0.121,0.149,-0.047,-0.084,0.006,0.162,-0.219,-0.101,0.091,-0.102,0.034,-0.232,-0.232,-0.371,-0.029,0.077,0.087,-0.106,0.027,-0.031,0.07,0.122,0.126,-0.023,-0.948,-0.35,0.156,0.351,0.901,0.768,0.025,0.182,0.124,0.087,-0.244,0.179,0.71,-0.32,-1.73,0.39,-0.68,-0.42,23.13,26.3,27.63,27.15,26.72,25.04,28.03,28.1,28.33,28.86,29.15,28.83,25.05,26.23,27.55,27.94,27.81,27.3,26.09,26.58,27.65,28.34,28.59,28.28,0.984,-3.795,-0.273,-0.869,-4.281,-0.776,1013.8,1011.3,1007.93,1014.95,1011.94,1012.76,-0.583,-0.669,-0.582,-0.487,-0.329,-0.255,-0.3,-0.05,0.49,0.77,0.96,0.89,-0.057,-0.132,-0.177,-0.146,0.007,-0.197,-1.82,-0.68,0.03,-0.58,0.57,1.76,-2.18,-1.89,0.78,-0.41,1.24,0.24,-13.05,-11.89,-6.68,-2.01,1.8,3.21,1,-0.1,0.3,0.4,-1.1,0.3,2312,1867,1978,2000,2085,2521,-0.33,-0.55,-0.17,-0.36,-0.35,-0.09,0.09,0.26,0.651,1.41,1.734,1.62,-0.37,-0.11,-0.07,-0.03,-0.26,-0.11,-0.17,-0.26,0.12,0.19,0.64,1.35,-0.47,-1.96,-1.42,0.52,0.46,-2,108.9250604,147.5265021,95.14068709
1958,1.41,4.02,7.13,8.23,7.87,7.32,0.06,0.2,0.355,0.357,0.212,0.232,-1.438,-2.228,-2.522,-0.36,-0.336,-1.149,0.313,1.463,2.006,1.84,1.173,1.117,1.67,1.24,0.86,0.35,1.15,0.45,0.041,0.137,0.284,0.401,0.446,0.361,-0.21,-0.14,2.15,0.38,-0.24,0.38,1.354,1.522,1.381,1.007,0.793,0.692,-0.38,0.13,0.45,0.73,0.11,3,-0.084,0.229,-0.127,-0.251,-0.025,0.001,-0.063,0.07,-0.055,-0.196,-0.152,-0.397,0.047,-0.277,-0.109,0.274,0.088,-0.456,-0.02,0.142,-0.082,-0.173,-0.299,-0.151,1.474,1.451,1.317,1.025,0.724,0.893,0.034,0.262,0.319,0.121,0.562,0.51,-1.14,-1.64,-2.46,0.26,-0.17,-1.08,24.89,26.55,27.09,26.37,24.71,23.23,29.26,29.28,29.04,29.04,29.21,29.13,27.04,27.57,27.85,27.86,27.39,26.7,28.37,28.41,28.34,28.35,28.35,28.05,-2.567,-10.78,-5.996,0.264,-4.307,-0.981,1001.04,1002.69,1014.45,1012.54,1013.81,1014.54,0.532,0.752,1.036,0.89,0.761,0.592,1.96,1.77,1.18,0.78,0.72,0.67,0.027,0.027,0.017,0.017,0.007,-0.063,0.25,0.62,0.25,1.06,1.28,1.33,0.62,0.36,0.18,0.31,0.66,1.48,5.25,4.1,4.27,1.98,-4.71,-10.6,-3.1,-0.8,0.4,0.6,-0.8,0.5,2515,2122,2515,2459,2186,2205,0.25,0.66,0.91,0.92,0.72,0.76,-0.639,-0.523,-0.566,-0.258,-0.005,-0.042,-0.26,-0.26,-0.57,-0.63,-1.07,-1.06,0.12,0.19,1.82,1.54,2.42,5.75,0.26,-1.33,0.76,0.89,1.91,1.51,124.8481422,171.7641945,80.08896481
1959,1.87,1.81,-0.37,-1.04,-0.81,-0.87,0.111,0.126,-0.016,0.007,0.018,-0.048,-2.013,2.544,1.432,0.119,-0.341,-0.033,0.384,0.202,-0.64,-0.83,-0.379,-0.538,0.68,1.07,-0.09,0.2,0.07,0.12,0.282,0.204,0.148,0.052,-0.005,0.081,-0.87,2.2,0.39,-0.07,-0.12,0.82,0.417,0.52,0.424,0.658,0.373,-0.061,1.62,0.04,-2.03,0.22,0.3,1.19,-0.003,0.036,-0.084,-0.235,-0.212,-0.006,0.571,0.085,-0.045,0.039,-0.378,-0.374,-0.062,0.006,-0.113,0.177,0.318,-0.249,-0.024,-0.027,-0.022,-0.063,0.059,-0.222,0.577,0.804,0.502,0.218,0.001,0.01,0.604,-0.023,0.051,0.057,0.492,-0.355,-1.52,0.33,-0.56,0.25,0.41,0.71,23.97,25.9,26.94,25.84,24.23,22.57,28.63,28.38,28.48,28.75,28.85,28.39,25.75,26.5,27.17,27.56,26.94,26.07,27.14,27.25,27.55,27.93,27.8,27.34,-0.619,-2.56,5.528,-1.337,1.44,-1.197,1008.4,1013.36,1012.83,1016.05,1014.96,1014.75,0.193,0.096,-0.061,-0.168,-0.2,-0.369,0.73,0.61,0.4,0.36,0.19,-0.04,-0.107,0.012,-0.137,-0.126,0.135,-0.085,0.69,-0.43,-0.95,-0.02,0.23,0.44,-1.54,-1.23,0.21,-0.9,-0.3,1.08,-20.06,-17.24,-14.02,-9.27,-5.91,-2.3,-1.5,-2.3,2.1,0.7,0.8,-0.2,2745,2079,2292,2106,2127,2175,0.28,0.29,-0.09,-0.08,-0.22,-0.25,-0.468,-0.319,-0.13,0.102,0.094,-0.246,0.04,0.05,0.28,0.2,-0.17,-0.14,0.19,0.38,0.98,0.83,0.16,-0.07,-0.91,0.74,-0.51,-0.05,-0.64,-1.05,91.9151766,195.5177407,90.49552497
1960,0.26,1.65,1.44,2,2.44,2.54,0.188,0.228,0.099,0.108,0.313,0.33,-2.484,-2.212,-1.625,-0.297,-0.857,0.055,-0.353,0.149,0.164,0.114,0.512,0.468,0.07,-0.02,-0.21,-0.19,0.06,0.06,0.044,0.094,0.105,0.123,0.166,0.177,0.06,0.15,3.27,-0.6,-1.3,0.02,-0.003,-0.398,-0.021,-0.076,-0.203,-0.4,-0.76,0.52,0.12,-0.39,-0.74,-0.71,-0.004,0.009,-0.224,-0.305,-0.175,-0.074,-0.161,0.207,-0.04,-0.455,-0.586,-0.229,0.008,-0.049,-0.258,0.377,0.334,-0.422,-0.02,-0.199,-0.049,0.006,-0.104,-0.217,-0.311,-0.26,-0.08,0.017,-0.334,-0.247,0.071,0.268,0.23,0.269,0.532,-0.15,-2.01,-2.59,-0.93,1.33,0.47,0.1,24.4,25.59,26.01,24.66,23.53,21.83,27.77,27.49,27.77,28.09,28.52,28.35,25.34,25.87,26.75,27.03,26.66,25.95,26.25,26.27,26.97,27.51,27.62,27.24,-0.874,1.976,1.287,1.317,1.021,-0.536,1005.94,1007.61,1013.4,1014.8,1014.86,1016.56,-0.125,-0.022,0.044,-0.083,-0.046,-0.044,-0.15,-0.36,-0.18,-0.06,0,-0.14,-0.09,-0.175,-0.003,-0.096,-0.121,-0.229,0.3,0.52,-0.21,0.09,0.91,0.64,-0.16,-0.22,-0.69,-0.07,0.99,1.2,4.79,3.39,-0.04,-1.08,-3.91,-8.98,0.2,0.2,1.7,1.3,0.9,0.2,2026,1709,1468,1676,1627,1619,-0.07,0.18,0.2,0.13,0.27,0.1,0.438,0.095,-0.051,-0.262,-0.521,-0.602,-0.33,-0.41,-0.09,-0.22,0.01,-0.23,-0.16,-0.21,-0.63,-0.79,1.13,0.2,-0.03,0.54,-1.48,-0.21,-0.1,0.45,121.7573827,112.1576004,88.83390899
